trabajo,flat
",",punct
pablo,appos
zenteno,flat
.,punct
que,mark
icónico,csubj
ver,xcomp
a,case
la,det
#,obl
coni,ROOT
hablando,xcomp
de,case
equidad,obj
de,case
género,nmod
lavando,xcomp
los,det
platos,obj
.,punct
puro,amod
cine,ROOT
.,punct
#,ROOT
granhermanochv,punct
pensando,advcl
cómo,obl
estructurar,xcomp
el,det
próximo,amod
capítulo,obj
de,case
#,nmod
laválvula,flat
",",punct
creo,ROOT
que,mark
podría,aux
incluir,xcomp
una,det
sección,obj
de,case
memes,nmod
",",punct
al,case
estilo,nmod
',nmod
cuando,mark
fallas,advcl
al,case
comprender,advcl
el,det
concepto,obj
del,case
género,nmod
',nmod
.,punct
el,det
fondo,nsubj
de,case
transversalización,flat
de,case
género,nmod
del,case
@minmujeryeg,nmod
permite,ROOT
  ,dep
reforzar,xcomp
el,det
trabajo,obj
del,case
isp,nmod
para,case
la,det
vigilancia,obl
y,cc
control,conj
de,case
calidad,nmod
de,case
los,det
  ,dep
anticonceptivos,nmod
que,obj
entrega,acl
el,det
estado,nsubj
a,case
través,fixed
de,fixed
la,det
red,obl
pública,amod
.,punct
#,amod
chileparatodas,ROOT
#,appos
minmujeryeg,nmod
impacto,nsubj
:,punct
trinidad,appos
ex,amod
participante,advmod
de,case
gh,nmod
chile,flat
",",punct
revela,ROOT
posibilidad,obj
de,mark
re-transicionar,acl
su,det
género,obj
a,case
hombre,obj
.,punct
“,nsubj
decido,flat
ser,ROOT
lo,det
que,obj
yo,nsubj
quiero,ccomp
”,obj
señaló,ccomp
¿,punct
qué,nsubj
te,expl:pv
parece,ccomp
?,punct
#,ROOT
thelulosshow,ROOT
¿,punct
qué,det
impacto,obj
tiene,ROOT
el,det
debilitamiento,obj
de,case
las,det
democracias,nmod
en,case
la,det
violencia,nmod
de,case
género,nmod
?,punct
les,obj
esperamos,ROOT
en,case
el,det
conversatorio,obl
de,case
la,det
@rednoviolencia,nmod
junto,case
a,fixed
antonia,obl
reyes,flat
",",punct
sandra,conj
palestro,flat
y,cc
tamara,conj
vidaurrazaga,flat
desde,case
la,det
@cmfchile,obl
_,flat
te,iobj
invitamos,ROOT
a,mark
participar,xcomp
del,case
lanzamiento,obj
de,case
la,det
22,nummod
°,nummod
edición,nmod
del,case
informe,nmod
de,case
género,flat
en,case
el,det
sistema,nmod
financiero,flat
de,case
la,det
cmf,flat
",",punct
el,det
próximo,amod
martes,appos
29,compound
de,case
agosto,compound
en,case
la,det
@fenuchile,nmod
.,punct
iv,amod
versión,ROOT
del,case
diplomado,nmod
en,case
enfoque,nmod
de,case
género,flat
y,cc
políticas,conj
públicas,flat
en,case
ciesi,nmod
.,punct
te,obj
puedes,aux
inscribir,ROOT
para,case
esta,det
charla,obl
gratuita,amod
que,nsubj
daré,acl
el,det
2,obl
de,case
agosto,compound
a,case
las,det
18:30,obl
hrs,obj
de,case
lima,obl
perú,flat
.,punct
este,det
jueves,obl
el,det
magíster,nsubj
de,case
género,flat
e,cc
intervención,conj
psicosocial,flat
invita,ROOT
a,case
la,det
presentación,obj
y,cc
lectura,conj
del,case
libro,nmod
de,case
la,det
poeta,nmod
travesti,flat
claudia,appos
rodríguez,flat
"""",punct
para,mark
no,advmod
morir,advcl
tan,advmod
sola,advmod
.,punct
escritura,ROOT
en,case
pandemia,nmod
"""",punct
seminario,ROOT
"""",punct
la,det
investigación,appos
empírica,amod
como,mark
aporte,acl
en,case
la,det
detección,obj
de,case
barreras,nmod
de,case
acceso,nmod
a,case
la,det
justicia,nmod
:,punct
el,det
caso,appos
de,case
disidencias,nmod
y,cc
discriminación,conj
de,case
género,nmod
"""",punct
#,advmod
hoyenlaumce,advcl
esta,det
mañana,obl
se,expl:pass
realizó,ROOT
una,det
nueva,amod
jornada,nsubj
de,case
inducción,nmod
de,case
la,det
política,nmod
de,case
género,flat
umce,flat
",",punct
a,case
cargo,fixed
de,fixed
